?a  <isMarriedTo>  ?c  ?c  <graduatedFrom>  ?b   => ?a  <graduatedFrom>  ?b	0	30	0
?c  <isMarriedTo>  ?a  ?c  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	2	28	0
?a  <isMarriedTo>  ?c  ?c  <hasWonPrize>  ?b   => ?a  <hasWonPrize>  ?b	1	29	0
?a  <isMarriedTo>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	23	5	2
?a  <isLocatedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	4	24	2
?a  <livesIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	0	1	0
?c  <isMarriedTo>  ?a  ?c  <graduatedFrom>  ?b   => ?a  <graduatedFrom>  ?b	0	30	0
?a  <isPoliticianOf>  ?b   => ?a  <livesIn>  ?b	30	0	0
?c  <isMarriedTo>  ?a  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	23	3	4
?c  <wasBornIn>  ?a  ?c  <isCitizenOf>  ?b   => ?a  <isLocatedIn>  ?b	5	25	0
?c  <isLocatedIn>  ?b  ?a  <isLocatedIn>  ?c   => ?a  <isCitizenOf>  ?b	2	25	3
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	20	8	2
?c  <livesIn>  ?a  ?c  <isCitizenOf>  ?b   => ?a  <isLocatedIn>  ?b	8	22	0
